tursiops_truncatus	Tursiops truncatus	Tursiops	Delphinidae	Artiodactyla	Mammalia	Chordata
choloepus_hoffmanni	Choloepus hoffmanni	Choloepus	Megalonychidae	Pilosa	Mammalia	Chordata
mus_spretus	Mus spretus	Mus	Muridae	Rodentia	Mammalia	Chordata
chrysolophus_pictus	Chrysolophus pictus	Chrysolophus	Phasianidae	Galliformes	Aves	Chordata
gouania_willdenowi	Gouania willdenowi	Gouania	Gobiesocidae	Blenniiformes	Actinopteri	Chordata
ictalurus_punctatus	Ictalurus punctatus	Ictalurus	Ictaluridae	Siluriformes	Actinopteri	Chordata
octodon_degus	Octodon degus	Octodon	Octodontidae	Rodentia	Mammalia	Chordata
oncorhynchus_tshawytscha	Oncorhynchus tshawytscha	Oncorhynchus	Salmonidae	Salmoniformes	Actinopteri	Chordata
panthera_tigris_altaica	Panthera tigris altaica	Panthera	Felidae	Carnivora	Mammalia	Chordata
lynx_canadensis	Lynx canadensis	Lynx	Felidae	Carnivora	Mammalia	Chordata
vombatus_ursinus	Vombatus ursinus	Vombatus	Vombatidae	Diprotodontia	Mammalia	Chordata
takifugu_rubripes	Takifugu rubripes	Takifugu	Tetraodontidae	Tetraodontiformes	Actinopteri	Chordata
numida_meleagris	Numida meleagris	Numida	Numididae	Galliformes	Aves	Chordata
dicentrarchus_labrax	Dicentrarchus labrax	Dicentrarchus	Moronidae	NA	Actinopteri	Chordata
salvator_merianae	Salvator merianae	Salvator	Teiidae	Squamata	Lepidosauria	Chordata
cyprinus_carpio_germanmirror	Cyprinus carpio	Cyprinus	Cyprinidae	Cypriniformes	Actinopteri	Chordata
panthera_pardus	Panthera pardus	Panthera	Felidae	Carnivora	Mammalia	Chordata
sinocyclocheilus_rhinocerous	Sinocyclocheilus rhinocerous	Sinocyclocheilus	Cyprinidae	Cypriniformes	Actinopteri	Chordata
bos_taurus_hybrid	Bos indicus x Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata
xiphophorus_maculatus	Xiphophorus maculatus	Xiphophorus	Poeciliidae	Cyprinodontiformes	Actinopteri	Chordata
monodon_monoceros	Monodon monoceros	Monodon	Monodontidae	Artiodactyla	Mammalia	Chordata
ursus_americanus	Ursus americanus	Ursus	Ursidae	Carnivora	Mammalia	Chordata
anolis_carolinensis	Anolis carolinensis	Anolis	Dactyloidae	Squamata	Lepidosauria	Chordata
corvus_moneduloides	Corvus moneduloides	Corvus	Corvidae	Passeriformes	Aves	Chordata
taeniopygia_guttata	Taeniopygia guttata	Taeniopygia	Estrildidae	Passeriformes	Aves	Chordata
oryzias_sinensis	Oryzias sinensis	Oryzias	Adrianichthyidae	Beloniformes	Actinopteri	Chordata
apteryx_haastii	Apteryx haastii	Apteryx	Apterygidae	Apterygiformes	Aves	Chordata
astyanax_mexicanus_pachon	Astyanax mexicanus	Astyanax	Characidae	Characiformes	Actinopteri	Chordata
gorilla_gorilla	Gorilla gorilla gorilla	Gorilla	Hominidae	Primates	Mammalia	Chordata
terrapene_carolina_triunguis	Terrapene carolina triunguis	Terrapene	Emydidae	Testudines	NA	Chordata
kryptolebias_marmoratus	Kryptolebias marmoratus	Kryptolebias	Rivulidae	Cyprinodontiformes	Actinopteri	Chordata
crocodylus_porosus	Crocodylus porosus	Crocodylus	Crocodylidae	Crocodylia	NA	Chordata
anas_zonorhyncha	Anas zonorhyncha	Anas	Anatidae	Anseriformes	Aves	Chordata
ovis_aries_rambouillet	Ovis aries	Ovis	Bovidae	Artiodactyla	Mammalia	Chordata
gadus_morhua	Gadus morhua	Gadus	Gadidae	Gadiformes	Actinopteri	Chordata
peromyscus_maniculatus_bairdii	Peromyscus maniculatus bairdii	Peromyscus	Cricetidae	Rodentia	Mammalia	Chordata
